orf_id	AMB_vs_CTRL_logFC	AMB_vs_CTRL_FDR	AMB+LF_vs_CTRL_logFC	AMB+LF_vs_CTRL_FDR
CNAG_00063	-1.34237757676108	0.00115321954943	-1.30416710556193	0.0024284413145
CNAG_00064	-0.631845258474772	0.005661703579253	-0.520710840601527	0.024838329105434
CNAG_00065	-0.41786462538786	0.007036636212013	-0.348703424180778	0.028050437176157
CNAG_00066	0.730182251533251	0.000857578329897	0.747937945490308	0.001179758061622
CNAG_00067	-0.447811758871688	0.047927359077306	-0.515294144846644	0.046404802024938
CNAG_00068	-0.538526136124592	0.09836487885234	-0.929532188511051	0.023658804076647
CNAG_00069	-0.179567322024378	0.523362712109576	-0.417333648676694	0.192419849406584
CNAG_00070	0.104924925674192	0.453793717721878	0.393528184984018	0.026119864896531
CNAG_00072	0.182242291278191	0.166070108419732	0.249907780854198	0.098995459016785
CNAG_00073	0.394401991903693	0.006626613554883	0.435760846807702	0.007224700314653
CNAG_00074	0.419623260627106	0.021907817027917	0.554195063122684	0.010849037092233
CNAG_00075	1.45423546318827	0.002177728787802	1.71366902516928	0.001568619489827
CNAG_00076	-0.367374409466161	0.175801979298043	-0.490526246375165	0.118043853388677
CNAG_00077	1.81812965372377	0.006762841373133	1.40627766922716	0.029908052507421
CNAG_00078	-0.802989977520878	0.002951555891329	-0.821825738786594	0.004998674046882
CNAG_00079	0.648778101195274	0.04708618303788	1.37109674332271	0.003035937825623
CNAG_00080	0.929635155386188	0.003333747617699	0.526044041891015	0.05792492344239
CNAG_00081	-0.18686867531461	0.052433493649578	-0.077515008935753	0.445474875403679
CNAG_00082	-0.347610726101456	0.01408245458864	-0.193437523190574	0.165082732047088
CNAG_00083	-0.038673996138624	0.710533162595825	-0.078358573183685	0.498137264010629
CNAG_00084	-0.580194039585881	0.00551951311999	-0.710784668426567	0.004177670419201
CNAG_00085	-1.0142811136074	0.013342833955933	-1.03080455260937	0.022371204983914
CNAG_00086	-1.41097715368139	0.006590892571191	-1.48354125291153	0.010522654200092
CNAG_00087	0.380222893076244	0.013571824093902	0.315383351331472	0.047039606074717
CNAG_00088	0.197112788433814	0.084625573410893	0.183955623226582	0.143782738892333
CNAG_00089	-0.369550965479773	0.01247768206294	-0.180512463277069	0.205747540928252
CNAG_00090	-0.407901325579231	0.005739968229407	-0.305127599251202	0.035874225708428
CNAG_00091	5.20750016241815	0.001487490295075	6.43297713476123	0.000873202249338
CNAG_00092	0.332879054073429	0.009728500396147	0.177603579059879	0.147192459724534
CNAG_00093	2.70709542419626	0.001934619846895	3.55234142745882	0.000898453312699
CNAG_00094	1.28744005637398	0.000953692004582	1.14545047677532	0.002529010434235
CNAG_00095	-0.722249151388966	0.00769513672471	-0.899671344147638	0.005432908027642
CNAG_00096	-0.115046816962363	0.380973450970642	-0.20602129106448	0.175438040457758
CNAG_00097	0.053349417581767	0.721817536968366	0.00586926576234	0.975536223422198
CNAG_00098	1.22871969227667	0.001414118120378	1.50523489797886	0.000885903014371
CNAG_00099	-1.21517760204125	0.005235537903397	-1.3427312034289	0.006542316920841
CNAG_00100	-0.735723277398657	0.026021028647081	0.107331654854107	0.754163188570741
CNAG_00101	-0.932287957581887	0.00664528884724	-0.956332248929884	0.011534436221787
CNAG_00104	-1.21727228544844	0.003111606270692	-1.4239203458205	0.003175811275336
CNAG_00105	-0.073456752508465	0.657658976466297	-0.202873857369025	0.275422336014278
CNAG_00106	-0.585059308273404	0.009131048070952	-0.792005624663488	0.004457228191395
CNAG_00107	1.15069037416041	0.005058131624825	1.60898697814847	0.001809283758025
CNAG_00108	-0.370107204330967	0.071719703331578	-0.327487089286117	0.147344657457931
CNAG_00109	-0.452972921107795	0.024677679043398	-0.363657776190523	0.087704111873143
CNAG_00110	-1.52868460444182	0.001575740572782	-1.60981268748375	0.002432068728019
CNAG_00111	-0.146763890149985	0.165031989076732	-0.064077672751179	0.589149084724797
CNAG_00115	0.68441338818673	0.007600469455139	0.842533529367423	0.004908817266787
CNAG_00116	-0.363814243691424	0.0324475974408	-0.476004630748246	0.018862135094654
CNAG_00117	-0.603244543777488	0.010865450006125	-0.583420370464767	0.02317721232571
CNAG_00118	-0.304855591328354	0.111119691174721	-0.410582697941175	0.066511405690534
CNAG_00119	-0.051880389232378	0.761410074646629	0.049330073960737	0.798755008786234
CNAG_00120	-0.00577523722389	0.963428304888418	0.284681860569559	0.053731928475437
CNAG_00121	1.32065746305782	0.000471126401038	1.58753120816904	0.000332242662226
CNAG_00122	-0.484341696014541	0.043707507091554	-0.558149319034665	0.042904574502793
