orf_id	5F	1C	4A	8H	2G	8G	5L	2K	6F	3D	7B
CNAG_07481	7.152406234	7.020059022	7.116143042	7.30569067	6.794175331	6.56272261	6.458132955	6.502214133	6.159048099	6.307899405	6.36833035
CNAG_07482	8.027049076	7.739407037	8.351259975	8.462542435	7.103352643	6.130381528	5.956137671	5.948457105	5.941912198	5.723848964	5.504556044
CNAG_07483	5.498519196	5.520094946	5.069930647	5.039177356	5.456891862	6.031016162	6.003804847	5.936565389	6.23671381	6.165644483	6.126918374
CNAG_07485	5.454223807	5.496133442	5.586651369	5.633428911	5.755140253	5.73467939	5.855801299	5.74531845	5.795606084	5.784109474	5.819555837
CNAG_07486	5.509383756	6.10395736	5.610393321	5.274638757	6.255966845	5.781289483	6.419599082	6.28119262	5.63880661	6.138202472	6.349542572
CNAG_07487	9.847186779	9.883769472	9.785769704	9.690669669	10.02508496	9.558576252	9.787733	9.910433204	9.742344073	9.84153974	9.947610816
CNAG_07488	7.035760744	7.336703022	6.959904581	6.78290873	7.418153021	7.389519204	7.562767292	7.469493679	7.297070259	7.623794031	7.71429789
CNAG_07489	6.523977442	6.137537423	6.698682623	6.978979805	5.976719953	5.593801191	5.128114551	4.86834789	5.62366951	5.334114733	5.15707438
CNAG_07491	5.5555404	5.899933759	5.227369444	5.38357206	5.867874472	6.160080208	6.318505699	6.107524871	6.443947895	6.677118449	6.51962207
CNAG_07492	2.030670688	1.832031586	2.146552735	2.158142276	2.080309556	2.34189797	2.769153886	2.192979903	1.984497793	1.845733366	1.108598986
CNAG_07493	3.273167707	3.621404554	3.256067711	3.509139262	3.059777092	3.725639842	4.481728611	3.868848998	3.393667113	2.462184377	2.618337381
CNAG_07494	5.781488079	5.659149436	5.287513868	5.166592725	6.010553846	6.615126921	6.471380281	6.47287349	6.91599368	6.610449803	6.692228517
CNAG_07497	1.10395602	1.246451566	1.766583191	1.262360326	1.546672054	1.108107873	1.689452484	1.16390172	1.866006399	0.840702919	0.972337588
CNAG_07498	6.439399039	6.337639264	6.504198648	6.226892128	6.420734493	6.069084651	6.286742741	6.273650086	6.150624157	6.244971065	6.225759653
CNAG_07499	6.726883522	6.530291137	6.474936618	6.568912029	6.582724846	7.054196957	6.785057205	6.777539835	7.038617401	6.84069283	6.889578379
CNAG_07502	7.01430987	6.584865525	6.012871548	6.007519247	7.274117972	7.688161108	7.82184177	7.807817596	8.148964469	8.115123837	8.234828383
CNAG_07505	1.860087595	2.311548338	1.766583191	0.740042716	1.295394321	1.171695502	2.311293866	1.34754204	2.436528994	2.432368792	1.504145713
CNAG_07506	6.493294821	6.528604704	6.424169935	6.563364996	6.470206012	6.676694716	6.626612818	6.481083704	6.717843616	6.540550422	6.566228143
CNAG_07507	5.735960887	5.95872603	5.816902893	5.712405748	6.008462316	6.215819928	6.170879676	6.320156656	6.230732041	6.309950468	6.342649533
CNAG_07508	6.467527424	6.296610428	6.538193592	6.411105247	6.385711255	6.007247711	5.654818596	5.84283494	6.175749839	5.827708491	5.743095826
CNAG_07509	6.778693114	6.584865525	6.602180219	6.651399488	6.624292779	6.586248722	6.469495237	6.557611814	6.617497928	6.401279588	6.638364135
