orf_id	order_peaktime
CNAG_01575	1071
CNAG_04475	1072
CNAG_04107	189
CNAG_04375	190
CNAG_04383	191
CNAG_05896	192
CNAG_01622	677
CNAG_01014	870
CNAG_01292	193
CNAG_03308	966
CNAG_07940	678
CNAG_03170	194
CNAG_04450	62
CNAG_07566	967
CNAG_02984	1073
CNAG_02393	968
CNAG_06909	969
CNAG_05287	679
CNAG_00006	1074
CNAG_04516	298
CNAG_05302	63
CNAG_00654	871
CNAG_03613	680
CNAG_01222	367
CNAG_05652	1075
CNAG_02010	299
CNAG_00158	681
CNAG_05705	682
CNAG_05226	195
CNAG_04312	970
CNAG_04393	300
CNAG_05601	683
CNAG_02667	1076
CNAG_06393	684
CNAG_04042	64
CNAG_03315	872
CNAG_06354	685
CNAG_00712	1077
CNAG_02860	196
CNAG_00799	197
CNAG_00691	1078
CNAG_07805	198
CNAG_05592	971
CNAG_04163	1079
CNAG_06103	1080
CNAG_01305	199
CNAG_02447	1081
CNAG_02340	686
CNAG_01114	873
CNAG_01959	687
CNAG_03647	368
CNAG_06548	1082
CNAG_01025	688
CNAG_00310	874
CNAG_03241	1083
CNAG_07660	200
CNAG_00124	972
CNAG_03023	65
CNAG_02930	973
CNAG_02030	1084
CNAG_03287	875
CNAG_06570	689
CNAG_01382	690
CNAG_05374	974
CNAG_00705	66
CNAG_03373	1085
CNAG_05763	975
CNAG_08001	691
CNAG_00533	201
CNAG_01120	202
CNAG_01897	203
CNAG_00594	692
CNAG_00900	693
CNAG_02156	694
CNAG_03859	67
CNAG_00346	695
CNAG_01373	876
CNAG_01879	204
CNAG_05907	1086
CNAG_05963	68
CNAG_01658	696
CNAG_06163	697
CNAG_04823	698
CNAG_04574	877
CNAG_05689	699
CNAG_00747	205
CNAG_06142	976
CNAG_04380	369
CNAG_07353	370
CNAG_02082	700
CNAG_05590	69
CNAG_06926	701
CNAG_06636	878
CNAG_04255	702
CNAG_02675	703
CNAG_01228	704
CNAG_02889	705
CNAG_07416	301
CNAG_02168	977
CNAG_05172	206
CNAG_07000	706
CNAG_02170	707
CNAG_06380	879
CNAG_04821	1087
CNAG_00145	978
CNAG_06993	979
CNAG_03607	708
CNAG_04900	302
CNAG_00374	1088
CNAG_06244	70
CNAG_00728	980
CNAG_06466	709
CNAG_03248	710
CNAG_00066	1089
CNAG_06236	711
CNAG_04091	880
CNAG_04166	71
CNAG_06994	1090
CNAG_05074	1091
CNAG_00434	207
CNAG_00847	712
CNAG_06530	713
CNAG_02677	72
CNAG_00873	981
CNAG_06867	1092
CNAG_03671	73
CNAG_07043	881
CNAG_07419	882
CNAG_01587	1093
CNAG_06465	714
CNAG_04271	715
CNAG_07703	716
CNAG_06150	74
CNAG_02806	208
CNAG_03678	717
CNAG_06129	883
CNAG_00909	718
CNAG_04827	719
CNAG_01055	209
CNAG_01441	884
CNAG_05148	885
CNAG_02878	303
CNAG_04935	210
CNAG_01476	720
CNAG_04534	721
CNAG_03520	722
CNAG_04742	982
CNAG_05769	723
CNAG_06837	724
CNAG_07955	725
CNAG_05284	726
CNAG_02686	211
CNAG_01230	727
CNAG_06689	983
CNAG_04603	212
CNAG_04301	213
CNAG_05349	75
CNAG_05714	886
CNAG_06474	76
CNAG_00445	77
CNAG_01789	78
CNAG_02548	984
CNAG_03071	214
CNAG_03512	215
CNAG_05288	1094
CNAG_02956	79
CNAG_00406	887
CNAG_02736	216
CNAG_03427	728
CNAG_04670	80
CNAG_00835	81
CNAG_03948	371
CNAG_00143	217
CNAG_00293	729
CNAG_04396	888
CNAG_02102	1095
CNAG_01060	372
CNAG_03855	730
CNAG_03289	82
CNAG_06564	1096
CNAG_04630	218
CNAG_03286	731
CNAG_04398	732
CNAG_00019	83
CNAG_04176	1097
CNAG_02459	219
CNAG_05285	220
CNAG_07926	221
CNAG_04065	1098
CNAG_00357	1099
CNAG_05242	222
CNAG_00343	733
CNAG_01290	84
CNAG_05655	889
CNAG_03203	985
CNAG_01233	734
CNAG_00514	373
CNAG_07579	735
CNAG_04079	223
CNAG_03291	736
CNAG_03380	304
CNAG_05240	224
CNAG_03996	85
CNAG_05189	986
CNAG_01020	374
CNAG_01461	737
CNAG_05187	305
CNAG_02983	738
CNAG_01172	739
CNAG_04609	225
CNAG_05112	1100
CNAG_01726	987
CNAG_01769	1101
CNAG_00369	740
CNAG_04122	375
CNAG_06417	741
CNAG_06283	86
CNAG_00973	890
CNAG_06295	742
CNAG_06612	891
CNAG_06410	892
CNAG_04583	87
CNAG_04893	743
