"Entry" "orf_id"
"227" "J9VQC4" "CNAG_02199"
"228" "J9VP75" "CNAG_03985"
"229" "J9VUX5" "CNAG_04502"
"230" "J9VWQ6" "CNAG_06454"
"231" "J9VDR7" "CNAG_00039"
"232" "J9VIU7" "CNAG_03835"
"233" "J9VWD9" "CNAG_01531"
"234" "J9VRY5" "CNAG_04282"
"235" "J9VTM1" "CNAG_06649"
"236" "J9VUW9" "CNAG_02334"
"237" "J9VVC9" "CNAG_02150"
"238" "T2BP87" "CNAG_05882"
"239" "J9W1X6" "CNAG_05582"
"240" "J9VNE4" "CNAG_02036"
"241" "J9VRB2" "CNAG_04257"
"242" "J9VQC3" "CNAG_03457"
"243" "J9VQD4" "CNAG_03467"
"244" "J9W0F9" "CNAG_06196"
"245" "J9VWP2" "CNAG_01626"
"246" "J9VL91" "CNAG_00877"
"247" "J9W370" "CNAG_06392"
"248" "J9VRT5" "CNAG_05125"
"249" "J9VTD6" "CNAG_01179"
"250" "J9VUB2" "CNAG_01836"
"251" "J9VTT0" "CNAG_07668"
"252" "J9VRL7" "CNAG_00866"
"253" "T2BNS2" "CNAG_01030"
"254" "J9VVM1" "CNAG_03439"
"255" "T2BP29" "CNAG_00866"
"256" "J9VQP1" "CNAG_02677"
"257" "J9VG29" "CNAG_06742"
"258" "J9VTA0" "CNAG_07433"
"259" "J9VLV1" "CNAG_04074"
"260" "J9VMK1" "CNAG_02857"
"261" "J9VKS2" "CNAG_01299"
"262" "J9VT08" "CNAG_03315"
"263" "J9VIG2" "CNAG_03696"
"264" "T2BPS6" "CNAG_01608"
"265" "J9VNQ5" "CNAG_04974"
"266" "J9VRP3" "CNAG_04411"
"267" "J9VZ19" "CNAG_06469"
"268" "J9VZR6" "CNAG_05496"
"269" "J9VYU9" "CNAG_01634"
"270" "J9VN36" "CNAG_02692"
"271" "J9VUQ4" "CNAG_04415"
"272" "J9VWG8" "CNAG_05727"
"273" "J9VLV4" "CNAG_00549"
"274" "J9VJ58" "CNAG_05217"
"275" "J9VIA3" "CNAG_03633"
"276" "J9VHA0" "CNAG_00628"
"277" "J9VUR5" "CNAG_02403"
"278" "J9VYQ1" "CNAG_06323"
"279" "J9VXU0" "CNAG_03299"
"280" "J9W1I4" "CNAG_01722"
"281" "J9W3A6" "CNAG_06432"
"282" "J9VID9" "CNAG_00235"
"283" "J9VMP8" "CNAG_02314"
"284" "T2BQ16" "CNAG_05386"
"285" "J9VPL4" "CNAG_02469"
"286" "J9VUL8" "CNAG_04380"
"287" "J9VQS9" "CNAG_06943"
"288" "J9VR92" "CNAG_04230"
"289" "J9VUS9" "CNAG_04451"
"290" "T2BNI5" "CNAG_06862"
"291" "T2BQ22" "CNAG_00687"
"292" "J9VPA1" "CNAG_07709"
"293" "T2BPP0" "CNAG_04786"
"294" "J9VN56" "CNAG_03627"
"295" "J9VNV0" "CNAG_07803"
"296" "J9VPL6" "CNAG_03050"
"297" "J9VV65" "CNAG_03248"
"298" "J9VNZ9" "CNAG_06678"
"299" "J9VFZ1" "CNAG_06792"
"300" "J9VL64" "CNAG_00272"
"301" "J9VLU9" "CNAG_00543"
"302" "J9VKZ5" "CNAG_07029"
"303" "J9VLB0" "CNAG_00861"
"304" "J9VUZ1" "CNAG_06068"
"305" "T2BQQ8" "CNAG_03645"
"306" "J9VW14" "CNAG_06195"
"307" "J9VZU2" "CNAG_07836"
"308" "J9W138" "CNAG_07942"
"309" "J9VX35" "CNAG_07887"
"310" "J9W375" "CNAG_06396"
"311" "J9VWX6" "CNAG_05344"
"312" "J9VTX4" "CNAG_05736"
"313" "J9VM63" "CNAG_02495"
"314" "J9VNM9" "CNAG_07671"
"315" "J9VTG6" "CNAG_01140"
"316" "J9VK53" "CNAG_06861"
"317" "J9VF17" "CNAG_00546"
"318" "J9VGB7" "CNAG_03683"
"319" "J9VIM5" "CNAG_07539"
"320" "J9VJ69" "CNAG_03946"
"321" "J9VL80" "CNAG_07794"
"322" "J9VM74" "CNAG_02486"
"323" "J9VMI9" "CNAG_06813"
"324" "J9VSC3" "CNAG_04443"
"325" "T2BP46" "CNAG_07987"
"326" "J9VDA7" "CNAG_00135"
"327" "J9VEP0" "CNAG_00373"
"328" "J9VFS1" "CNAG_00063"
"329" "J9VHT1" "CNAG_02929"
"330" "J9VIM1" "CNAG_00285"
"331" "J9VKH4" "CNAG_01182"
"332" "J9VI89" "CNAG_06906"
"333" "T2BQV7" "CNAG_03980"
"334" "J9VVM7" "CNAG_04776"
"335" "J9VRB5" "CNAG_03591"
"336" "J9VG80" "CNAG_03635"
"337" "J9VJH0" "CNAG_05109"
"338" "J9VK30" "CNAG_02895"
"339" "J9VVH7" "CNAG_03397"
"340" "J9VIB4" "CNAG_07333"
"341" "T2BQ86" "CNAG_03877"
"342" "J9VT10" "CNAG_01282"
"343" "J9VFH5" "CNAG_03599"
"344" "J9VPB8" "CNAG_03108"
"345" "J9VEZ2" "CNAG_00522"
"346" "J9VNF4" "CNAG_01202"
"347" "J9VJW7" "CNAG_02961"
"348" "J9VTV3" "CNAG_00992"
"349" "J9VNI7" "CNAG_06913"
"350" "J9VQU3" "CNAG_01184"
"351" "J9VSM2" "CNAG_01418"
"352" "J9VTW8" "CNAG_04130"
"353" "J9VZ52" "CNAG_01706"
"354" "T2BPJ7" "CNAG_04813"
"355" "T2BQ30" "CNAG_07961"
"356" "J9VN07" "CNAG_07659"
"357" "J9VGP0" "CNAG_00371"
"358" "J9VVE5" "CNAG_06184"
"359" "J9VZ33" "CNAG_06490"
"360" "J9VL89" "CNAG_01137"
"361" "J9VLV2" "CNAG_00892"
"362" "J9VXQ3" "CNAG_03249"
"363" "J9W1N5" "CNAG_05459"
"364" "J9VSN1" "CNAG_01408"
"365" "J9VY27" "CNAG_03393"
"366" "J9VFI2" "CNAG_00723"
"367" "J9VWR5" "CNAG_06466"
"368" "J9VT13" "CNAG_04622"
"369" "J9VVH4" "CNAG_02099"
"370" "J9VHM4" "CNAG_02795"
"371" "J9VJV7" "CNAG_05251"
"372" "J9VRA8" "CNAG_06626"
"373" "J9VUS3" "CNAG_02393"
