genes	logFC.A	FDR.A	logFC.AL	FDR.AL	groups	coarse_groups
CNAG_02672	-1.35548625883064	0.00280585798935758	-1.56245298254155	0.00300660567014411	Both down	Same
CNAG_04175	-1.40880699535163	0.00280585798935758	-1.4535795486404	0.00481999450782334	Both down	Same
CNAG_02193	-1.4159590502394	0.00280585798935758	-1.42766965078346	0.00529241286966141	Both down	Same
CNAG_00590	-0.906444935899038	0.00280585798935758	-0.950219721866037	0.00433688959527538	Both down	Same
CNAG_07684	0.974691085682568	0.00280585798935758	1.11303580415133	0.00264434040044755	Both up	Same
CNAG_02171	-0.596654987934334	0.00281176073010373	-0.643879406370463	0.0037500237576457	Both down	Same
CNAG_03897	-1.3828857518721	0.00282272438027138	-1.42611613714671	0.00484513862937052	Both down	Same
CNAG_07838	0.829676934984799	0.00282534766630261	1.1320552488431	0.00117975806162167	Both up	Same
CNAG_04376	-1.09897346651703	0.00282534766630261	-1.12619600616773	0.00488325878179276	Both down	Same
CNAG_00441	-1.24002524234959	0.00282534766630261	-1.45478603586369	0.00288227732166031	Both down	Same
CNAG_01660	-0.594862420587187	0.00282534766630261	-0.477967838509989	0.014120366337075	Both down	Same
CNAG_02151	0.369221715399663	0.00282677482679746	0.296100320765215	0.0132950343448319	Both up	Same
CNAG_06668	3.47429629277993	0.00282681769532203	5.01403831266999	0.000999402845284772	Both up	Same
CNAG_02890	-0.808838763900154	0.00282681769532203	-0.779494911095112	0.00624578520400531	Both down	Same
CNAG_07908	-0.747811127999422	0.00283324995198876	-0.732836697020106	0.00575634769415667	Both down	Same
CNAG_01745	1.45464687570926	0.00285366862913523	1.58784029557827	0.00298376431331583	Both up	Same
CNAG_04885	2.91016833934868	0.00287453251670328	3.47800107563897	0.00265862880207145	Both up	Same
CNAG_05748	-0.45657396865079	0.00288201862568131	-0.460666098035474	0.00510885603927411	Both down	Same
CNAG_04222	-1.61760924536682	0.00289823631750817	-1.880820992571	0.00303593782562275	Both down	Same
CNAG_06611	-1.17333014431413	0.00289823631750817	-1.3371347812741	0.00325429721905674	Both down	Same
CNAG_01020	-0.417837442829493	0.00289823631750817	-0.433843772482589	0.00450607564456656	Both down	Same
CNAG_07757	0.54041887265455	0.00291268918909448	0.527707385228447	0.0053662278797283	Both up	Same
CNAG_03456	-0.817140620942673	0.00291268918909448	-0.776432702621168	0.0069405312472845	Both down	Same
CNAG_04200	1.17079651677141	0.00293070214447338	1.43575968807992	0.00184009001704286	Both up	Same
CNAG_01729	-0.748490943636147	0.00293070214447338	-0.975988208533799	0.00168167445988097	Both down	Same
CNAG_01417	2.05140242426255	0.00293070214447338	2.41439530362205	0.00214321500452892	Both up	Same
CNAG_02658	-0.805695064771596	0.00293070214447338	-0.988802419765845	0.00228356608224013	Both down	Same
CNAG_02548	0.429776738544551	0.00294229771305624	0.466401384412438	0.00345077944844561	Both up	Same
CNAG_05752	-1.29627984117383	0.00294241576544331	-1.34986358376193	0.00492237036527121	Both down	Same
CNAG_05234	-0.889441269135508	0.00294241576544331	-0.903489058489595	0.00513559081714196	Both down	Same
CNAG_04386	2.42679780335877	0.00294962576741559	2.96094461398444	0.00188629975493083	Both up	Same
CNAG_00078	-0.802989977520878	0.00295155589132891	-0.821825738786594	0.0049986740468821	Both down	Same
CNAG_01174	-0.467423337411876	0.00296812831809629	-0.47179703324986	0.00521754077147991	Both down	Same
CNAG_03205	-1.41641461064555	0.0029745377959515	-1.39290211197502	0.00614764528045058	Both down	Same
CNAG_02196	-0.87629038948725	0.00298029252953642	-0.989595005763045	0.00336738830558599	Both down	Same
CNAG_00633	-0.51671842483893	0.00298029252953642	-0.574394749286784	0.00346205943473386	Both down	Same
CNAG_03335	-0.630251646311367	0.00298489466978025	-0.545932850869061	0.0106595462371691	Both down	Same
CNAG_06641	-0.972365727626475	0.00298885882678108	-0.910308049639259	0.00750550017956725	Both down	Same
CNAG_06350	-0.870272978871454	0.00299209758856323	-0.987608034783402	0.00321402929872411	Both down	Same
CNAG_05558	-0.80067942540635	0.00299209758856323	-0.977527494693175	0.00235911700393037	Both down	Same
CNAG_00594	-0.535442766990378	0.00301303479620957	-0.598295066336609	0.00345093276955302	Both down	Same
CNAG_07512	0.77856051642691	0.00301303479620957	0.871254927283709	0.00297451078412896	Both up	Same
CNAG_07563	-0.458820714423049	0.00301303479620957	-0.271834693807606	0.0489916529573676	Both down	Same
CNAG_04663	1.01101196175026	0.00301526337540363	0.916258527815596	0.00741321028957336	Both up	Same
CNAG_04033	0.669765267729894	0.00301526337540363	0.738460917836167	0.00321884049231451	Both up	Same
CNAG_03006	0.517167009590782	0.00301526337540363	0.654267545706653	0.00173013540008473	Both up	Same
CNAG_01476	-0.715347816121138	0.00301526337540363	-0.667108799401049	0.00778605644483874	Both down	Same
CNAG_05291	-0.78058868838449	0.00301526337540363	-0.962374734413211	0.00225479129813094	Both down	Same
CNAG_04356	-1.13249836109774	0.00301526337540363	-1.01845810217222	0.00915164971707073	Both down	Same
CNAG_03548	0.88717824205522	0.00301826524112754	0.935112391988844	0.00381115700921583	Both up	Same
CNAG_06148	-0.647247393681476	0.00301858690513484	-0.708819433410504	0.00381115700921583	Both down	Same
CNAG_03372	0.636331531442205	0.00301858690513484	0.892341903562003	0.00113352097741103	Both up	Same
CNAG_00292	-0.878319412308824	0.00303351252918658	-0.967638241518081	0.00378822737476563	Both down	Same
CNAG_06149	-0.677636327878477	0.00303351252918658	-0.639233455292806	0.00745976494512885	Both down	Same
CNAG_02785	-0.626556079473192	0.00303351252918658	-0.706983553048002	0.00337284777785589	Both down	Same
CNAG_07464	-1.00584770985469	0.00303351252918658	-1.18656256565311	0.00286139449457661	Both down	Same
CNAG_03983	1.37291948695588	0.00303351252918658	1.54832154812873	0.0027434793402006	Both up	Same
CNAG_05605	-0.670535001884122	0.00303696866439012	-0.685515601912191	0.00515841588752919	Both down	Same
CNAG_01847	0.955395144434065	0.00303696866439012	0.756899248303625	0.0152992293925593	Both up	Same
CNAG_00793	-0.894962921345156	0.00303696866439012	-0.877858161039216	0.00623598946341684	Both down	Same
CNAG_05973	0.528015590575163	0.00303923762758197	0.332469374117038	0.0378425420184954	Both up	Same
CNAG_00404	0.757466777222395	0.00304135015652046	0.740596551070492	0.00546961620734813	Both up	Same
CNAG_06873	0.774559882795394	0.00304137594294571	0.813273026766261	0.00447568419067762	Both up	Same
CNAG_05419	0.870776287303505	0.00305673981232886	0.926475997533472	0.00375055092477288	Both up	Same
CNAG_01665	-1.45908160072028	0.00306191343304941	-1.25307404808466	0.0115054443213456	Both down	Same
CNAG_03624	-1.65414011371526	0.00306191343304941	-1.81156936058636	0.00416155947582608	Both down	Same
CNAG_01047	4.00295960025197	0.00306777217856595	4.7959514844059	0.00208891078387398	Both up	Same
CNAG_07959	-0.665515745878462	0.00307647743378509	-0.732872388250233	0.00377120145144377	Both down	Same
CNAG_04849	0.910034896671445	0.00307886499653032	1.33896871041198	0.000915117506328552	Both up	Same
CNAG_00052	3.02751709072807	0.00308812560932497	4.20953116268659	0.00124910381271443	Both up	Same
CNAG_06076	-0.436344206678682	0.00308894229095531	-0.261556055033885	0.0488035522970068	Both down	Same
CNAG_06341	-1.59869856972741	0.00309149908809098	-1.73581458140766	0.00416132443961019	Both down	Same
CNAG_00506	-0.804865932494649	0.00309149908809098	-0.88552326572428	0.00378215520354508	Both down	Same
CNAG_05894	-0.811559516088459	0.00311160627069166	-0.962723249919802	0.00284213648619065	Both down	Same
CNAG_00104	-1.21727228544844	0.00311160627069166	-1.4239203458205	0.00317581127533602	Both down	Same
CNAG_03695	-0.99553962373294	0.00311160627069166	-1.03078118915196	0.00498725667787019	Both down	Same
CNAG_00652	-0.541499515662824	0.00311415311748438	-0.340319684056681	0.0410855101875921	Both down	Same
CNAG_01183	-0.696076908323902	0.00312148830289522	-0.606985187081655	0.0110136295666491	Both down	Same
CNAG_01812	-1.00760576018219	0.00312427613231669	-1.09728498644161	0.00409682398320712	Both down	Same
CNAG_07322	-0.527157442845457	0.00313024325748422	-0.479883702633233	0.00887320502556615	Both down	Same
CNAG_07537	-1.17795714710883	0.00313024325748422	-1.47637713821781	0.00224141906303062	Both down	Same
CNAG_03286	-0.581201990443957	0.00313024325748422	-0.505485855115295	0.0110916416323249	Both down	Same
CNAG_00566	0.745649709901539	0.00313760701442035	1.0569890633615	0.00110672604794236	Both up	Same
CNAG_01345	-0.623522187658695	0.00314140952697109	-0.529926908437724	0.0122544925228009	Both down	Same
CNAG_01146	-1.01275139326322	0.0031642132160219	-1.16851949842971	0.00331326283504931	Both down	Same
CNAG_04970	0.971122303314231	0.00317348427785133	1.28275657502631	0.00148076054989907	Both up	Same
CNAG_05936	-0.815103475470888	0.00317348427785133	-0.896154690875981	0.00393106414447237	Both down	Same
CNAG_06092	0.526344294028263	0.00317348427785133	0.174913272844966	0.238698199928542	AMB up only	AMB only
CNAG_02502	-1.49347492505973	0.00317843218680287	-1.59698738361802	0.00458731768970922	Both down	Same
CNAG_01351	-0.518421005438829	0.00318347644143909	-0.524673290479908	0.005527433610813	Both down	Same
CNAG_06819	0.59796166073146	0.00318610305894653	0.562207695870305	0.00698877130128119	Both up	Same
CNAG_02454	-0.7640637042106	0.00318610305894653	-0.941757527807701	0.00235911700393037	Both down	Same
CNAG_02218	-0.53303643716322	0.00319657667880918	-0.490297876773175	0.00863426988922814	Both down	Same
CNAG_03991	1.4694969669385	0.00319952723349868	1.7027959730228	0.00255502894702217	Both up	Same
CNAG_01690	1.47558613202892	0.00319952723349868	1.80548815612714	0.00197080983248252	Both up	Same
CNAG_01791	-0.905264710176833	0.00319952723349868	-1.04752071833163	0.00323822760092231	Both down	Same
CNAG_01056	0.806114654775774	0.00319952723349868	0.420535605228927	0.0779668021973163	AMB up only	AMB only
CNAG_07350	1.16379825910013	0.00321683363051594	1.36712167627785	0.00250453257969695	Both up	Same
CNAG_03333	1.10248298120262	0.00321737537957743	1.82913392936655	0.000559836564859856	Both up	Same
CNAG_05101	-1.03182711637691	0.00321886352481923	-1.22122518765299	0.00300192360924583	Both down	Same
